@relation SMILEfeatures

@attribute sexo {m,f}
@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute F0final_sma_linregc2 numeric
@attribute F0final_sma_de_percentile99.0 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_quartile3 numeric
@attribute mfcc_sma[11]_quartile2 numeric
@attribute mfcc_sma[11]_quartile1 numeric
@attribute voicingFinalUnclipped_sma_quartile3 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute F0final_sma_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_amean numeric
@attribute F0final_sma_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[14]_linregc2 numeric
@attribute mfcc_sma[14]_quartile2 numeric
@attribute mfcc_sma[14]_quartile3 numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute mfcc_sma[12]_quartile2 numeric

@data
m,137.2005,126.797,135.385,118.5828,108.1209,140.6436,132.9054,141.1037,87.86166,155.4845,0.63757,0.743161,157.605,115.2253,39.21815,2.76143,10.52856,1.087014,-5.727277,0.699282,-9.262473,36.30286,-0.361389,21.66241,-4.585275,1300.7,-1.842583,0.014859,-2.666252,-4.601372,0.561461,-3.414651,-6.48413,-16.97638,-2.100588
f,164.0678,157.6579,170.0682,160.9003,151.6112,168.7094,169.8248,171.5493,151.1733,240.1303,0.603733,0.814844,240.2255,173.543,56.75595,-12.59693,-3.622046,-12.22842,-20.65003,0.781525,-10.1452,43.30505,-17.99458,9.251875,-3.840884,1713.667,-0.947769,0.013481,2.095534,-3.498364,2.480788,8.476312,-10.54523,-36.93818,-2.403219
m,184.8868,184.8868,179.6663,123.7617,112.9554,156.5386,187.6699,184.8868,62.38459,184.8868,0.722062,0.722062,156.8751,95.70068,41.83838,-4.766728,3.199305,-2.12326,-12.46604,0.658831,-13.44647,41.59635,-5.655519,14.15142,-8.463833,1614.475,-1.654961,0.02019,-8.011363,-7.426527,-3.302325,-4.845853,-7.922988,-41.70726,-1.899923
m,104.955,96.27246,101.4242,103.5346,93.69011,112.2878,97.18764,109.8032,88.01908,122.1012,0.769691,0.769691,124.6943,107.085,25.82162,-3.926434,4.559867,-4.557803,-11.50788,0.741407,-0.945814,26.181,-5.978335,23.08911,5.966907,625.0295,3.764963,0.032775,4.136952,6.785686,13.03331,9.024164,-7.002187,-31.22663,5.658424
m,163.753,151.901,186.0248,152.7777,160.1408,169.5193,180.4103,200.0894,132.0059,447.9007,0.375509,0.822517,498.4458,157.4301,94.59631,3.793055,10.13238,4.215991,-2.10603,0.774835,-6.237598,77.76709,6.932533,21.53735,-1.47074,6045.257,-16.50791,0.02058,-2.295015,-1.835798,4.279408,-17.2451,-22.9487,-18.22394,-16.43467
f,239.7785,217.133,238.6815,225.3361,215.4494,253.2596,283.4947,261.0755,192.028,326.2865,0.816724,0.863156,333.1942,237.4483,73.61555,-20.03895,-14.77908,-22.88473,-29.17791,0.818444,-21.88551,56.32957,-26.96545,15.11308,-16.05948,3010.232,-0.416425,0.020183,-19.56849,-15.16368,-9.451208,-1.324848,-7.806022,-44.7772,0.74626
f,169.1589,159.5138,177.7264,164.9647,154.8186,177.3387,205.5718,185.7742,139.4757,279.1783,0.826159,0.826159,284.2846,181.9896,69.77509,-6.943432,0.708088,-6.588096,-14.72342,0.774805,-14.23919,47.5249,-12.74362,14.99299,-8.781381,2010.671,2.109156,0.022474,-9.664761,-8.412743,-3.21965,6.005224,-4.88283,-33.5706,2.432896
f,163.9627,154.8216,165.7576,165.3512,151.6784,180.2323,168.9621,175.0601,141.4967,197.7984,0.825756,0.825756,201.8294,143.2807,45.97353,16.27687,25.66847,17.90391,10.43661,0.807987,-18.11282,42.72876,-2.304964,44.86681,-10.77889,1802.015,-9.904564,0.014485,-12.2895,-9.88077,-4.698229,-9.042584,-16.29997,-22.40423,-10.61977
m,107.438,99.09983,103.5664,104.7156,95.1617,111.2113,99.90363,111.6583,96.1059,121.2566,0.753913,0.775175,123.0747,100.1446,30.23406,-5.320316,2.248854,-7.126299,-12.56137,0.747723,-8.306902,25.81442,3.130826,25.77868,-4.295245,658.0272,-7.027964,0.016399,-3.643673,-4.364569,-0.361036,-6.341034,-12.26532,-26.13975,-6.830237
f,240.043,217.8711,231.6097,230.4198,212.77,251.7323,219.376,254.9586,187.1808,279.8135,0.865289,0.865289,283.619,202.3433,73.20609,-20.38847,-10.66138,-21.58119,-32.43894,0.814844,-23.32356,56.28956,-19.00892,16.05571,-16.94801,3131.993,0.549874,0.020092,-16.86202,-17.46438,-10.54734,-3.360481,-7.911126,-51.02042,1.146189
m,107.5327,103.9476,107.4601,107.6948,98.7857,119.5729,94.96978,119.6665,83.2095,134.2361,0.775832,0.775832,130.1565,112.7974,31.89646,-3.225026,1.642331,-3.905357,-8.128051,0.74584,-6.889098,28.92162,-6.727365,13.80625,-2.711329,770.238,-2.206892,0.022762,-5.996171,-3.091966,0.465803,-2.517626,-7.952791,-21.65289,-2.359466
m,162.0532,150.3405,164.9769,152.1241,142.3971,177.6387,185.2912,174.6067,105.3779,205.9361,0.801276,0.801276,206.6282,182.3426,46.06752,-0.582571,8.182455,2.331209,-7.622379,0.753753,-12.25654,48.50379,-4.820467,20.31129,-5.343455,1814.694,-5.715851,0.019354,-11.88192,-3.667487,2.206073,-9.762007,-12.35661,-32.65081,-4.579254
m,134.8914,127.2088,142.7449,130.6325,130.3945,143.9403,172.3971,152.4443,114.8503,220.191,0.797734,0.797734,225.3593,152.8699,42.00549,0.592384,11.06697,1.458226,-9.264132,0.766908,-14.23249,39.17754,0.214123,36.78362,-8.325195,1364.925,-19.9205,0.028408,-14.11113,-7.996452,-2.153464,-14.86854,-31.32084,-37.99054,-20.88182
m,129.4344,121.8388,126.0631,119.5675,102.5694,132.2393,115.5525,130.5309,68.25287,156.6768,0.748678,0.748678,165.3905,95.6133,43.88283,4.300926,13.25205,4.343383,-2.786278,0.693433,-11.20733,40.26416,3.988205,24.12531,-4.188267,1604.554,-5.343997,0.027027,-3.903496,-2.500816,3.103343,-10.29615,-14.90631,-22.7435,-4.505559
m,106.8273,106.8273,112.9728,93.5694,90.08968,114.91,114.7303,125.6574,66.39581,134.37,0.783371,0.783371,136.7649,78.54367,36.3846,11.39978,20.22106,10.48803,0.084415,0.644105,-1.461667,31.66926,7.365571,44.76809,3.630854,957.3801,-2.934752,0.024614,-0.485256,4.238967,7.991141,-8.015454,-8.063934,-11.31848,-1.195539
f,222.7746,200.3086,217.9272,234.5065,206.6533,254.4814,228.3708,248.6474,162.058,298.624,0.830769,0.830769,303.355,234.5859,74.56411,-4.040871,6.536913,-3.215126,-13.04578,0.772815,-16.09448,70.61604,-12.49733,21.99566,-8.372599,4723.414,-3.590492,0.020945,-13.49556,-8.085991,-0.107674,-9.761084,-7.9267,-41.20558,-2.225641
f,204.7853,185.6142,215.6307,187.2444,192.7132,231.0234,248.1425,240.1845,161.0371,345.2273,0.848636,0.848636,350.9218,230.2306,66.65144,-14.0184,-4.562526,-13.9299,-23.44301,0.81173,-24.39691,67.33008,-22.29605,12.31264,-16.24808,4060.091,-2.74332,0.019232,-14.58138,-16.16039,-8.394676,-0.16075,-9.084629,-40.72074,-3.455545
f,235.9681,203.9582,243.9197,228.1864,227.0898,267.1418,224.8504,284.7182,184.6968,350.1506,0.874126,0.874126,352.9215,191.6826,68.70774,-12.84665,-5.676795,-12.71162,-21.40973,0.817231,-15.95915,67.47557,-18.50933,10.68628,-7.844856,4130.775,-7.239068,0.022586,-14.35036,-7.362894,0.924603,-13.59741,-15.66188,-39.94091,-5.797615
m,120.8652,116.4658,122.9456,116.7626,108.2586,121.948,117.0238,125.2059,87.80681,155.5218,0.778479,0.778479,161.7525,99.83618,40.40618,-4.891934,2.355533,-4.644562,-13.24168,0.749004,-12.06867,32.16886,-1.774509,30.31256,-5.551356,1010.988,-3.163722,0.025878,-5.368227,-6.175769,-0.680746,-3.253426,-9.649187,-27.35283,-2.832471
m,140.2595,127.663,140.4028,140.2614,129.3676,153.0186,147.1958,156.3875,125.7348,172.0012,0.785216,0.785216,173.9739,135.3508,41.59918,8.114434,14.53478,8.513358,1.925997,0.744926,2.132916,38.28542,4.117024,26.72804,7.253139,1453.716,-10.54692,0.025617,3.738313,6.571722,12.63072,-8.361442,-18.68302,-13.94883,-9.596334
f,248.8787,239.72,236.2838,249.2811,224.5778,269.1261,182.8184,263.4154,189.467,293.8812,0.811842,0.825092,295.6565,202.337,71.37912,-13.49304,-4.318185,-14.44153,-23.3178,0.779696,-10.08243,63.0126,-10.06623,17.4636,-4.222792,3803.808,-8.249761,0.021292,-5.616152,-4.084232,1.282646,-8.080853,-14.01043,-44.40053,-7.570475
f,229.5822,216.2596,241.0788,227.7873,220.1537,265.6814,239.6502,262.923,207.7631,358.6832,0.870943,0.870943,315.9998,209.2604,72.78006,-19.78782,-12.56597,-20.14123,-26.88001,0.817833,-23.98962,62.04556,-19.57192,6.524249,-16.76426,3809.773,-6.629704,0.021001,-15.74909,-15.11713,-9.962647,-2.669214,-13.57693,-45.24277,-5.638399
f,214.2479,171.7238,200.0632,178.8399,178.7007,217.5508,176.9005,230.2825,156.8956,239.0464,0.852312,0.852312,237.0093,180.414,61.25515,-9.067137,-1.195072,-7.965086,-17.73328,0.804699,-19.25899,46.47184,-7.468521,16.47726,-14.1951,2158.642,-1.799374,0.01803,-13.72228,-10.93951,-5.805869,-7.2452,-8.555664,-30.36548,-2.470247
m,94.10447,90.76586,103.8027,93.9885,90.87914,115.3056,112.2115,119.1358,79.10474,158.7854,0.780047,0.780047,133.9278,83.36945,27.44484,-0.947759,9.344152,-1.934029,-9.652279,0.736908,4.537848,29.59592,-2.775092,24.4676,12.87619,856.9005,7.508885,0.034794,12.45892,13.72556,20.29486,7.144099,-0.669408,-34.39545,6.431636
f,182.6926,162.1345,187.2525,170.5942,172.0411,205.5847,212.6406,209.3179,151.6699,273.2629,0.833456,0.833456,281.6664,195.8362,62.28525,-8.357244,-0.873262,-6.563858,-14.52172,0.7833,-14.13768,51.20612,-13.64478,17.78403,-7.82198,2431.784,-2.904293,0.019389,-8.287063,-8.741595,-1.364537,-10.90287,-9.894405,-47.36689,-0.76807
m,146.9261,112.2947,145.4149,126.5414,136.2174,163.632,154.6197,168.2441,103.977,260.5232,0.631298,0.824193,299.8787,138.9389,48.10772,2.201518,12.1711,2.317161,-8.138949,0.762009,1.231941,59.13525,3.590583,35.83657,6.618629,3494.481,-11.33508,0.029782,6.600997,6.693954,11.84251,-19.4372,-19.29779,-29.64862,-10.7085
m,199.0769,191.3734,203.7912,194.4547,186.134,213.4268,205.3518,217.4394,182.3603,236.8262,0.828471,0.828471,237.7198,188.469,53.3079,-1.815469,4.896939,-2.454369,-10.19016,0.788012,-16.72336,42.84253,-1.0655,20.61869,-12.19292,1833.649,-18.31162,0.012894,-14.98035,-12.27854,-7.494134,-25.59318,-25.30046,-21.66184,-19.07259
f,215.9001,207.5145,222.1799,212.1322,195.8243,234.4096,234.7975,234.2368,172.5934,267.4721,0.848993,0.848993,272.4399,221.6652,65.04674,-11.94511,0.016495,-12.60761,-21.55113,0.781218,-14.96053,55.38237,-9.436971,18.62577,-9.206052,2842.19,-0.712716,0.018172,-14.91224,-9.093667,-2.418588,-3.830125,-6.185173,-44.30596,0.141397
m,157.9904,149.8072,155.7852,154.7661,138.3274,162.4034,159.2357,166.1118,131.3585,181.4343,0.806701,0.806701,184.4371,145.0444,46.84721,-1.745397,3.678799,-2.1102,-8.188507,0.780867,-12.19896,42.68246,-2.309392,21.07727,-7.845086,1806.612,-6.59948,0.029842,-5.20519,-7.773186,-2.717605,-14.60571,-13.00277,-24.76087,-7.241
m,117.1502,110.9817,116.5001,113.8032,107.3708,123.8286,112.5527,121.6206,106.2886,137.9954,0.778039,0.778039,139.3346,99.74013,33.51414,12.12579,19.76007,10.87144,3.069511,0.748194,0.517169,25.75273,9.341752,42.94299,4.774833,643.6376,-2.347588,0.012477,2.161873,4.493526,8.632811,1.302431,-10.49635,-13.18363,-1.699482
f,199.6041,184.1784,197.0292,196.923,175.2432,206.2615,218.535,207.879,147.0569,237.6397,0.833563,0.833563,242.4694,201.0421,57.91302,-10.61596,-0.702643,-8.288872,-20.82213,0.78246,-14.22535,50.2721,-16.07011,13.28814,-8.184396,2303.33,-7.259174,0.027287,-11.03199,-7.739526,-1.342824,-6.976386,-13.2075,-38.77192,-6.970192
f,190.9369,172.061,191.6167,182.3392,165.0536,214.0856,192.265,213.6874,123.865,242.0062,0.647806,0.836914,255.91,164.9354,63.39321,3.962638,12.68058,4.635854,-3.907558,0.780163,-12.21319,58.20489,1.617382,25.48006,-7.859847,3387.804,-0.745092,0.012501,-9.327675,-7.332113,-3.721613,-0.785579,-5.233643,-24.01556,-0.750406
f,172.7515,163.27,173.2699,171.5387,163.9219,190.0855,166.4092,190.4677,158.7414,229.2175,0.83699,0.83699,232.3868,180.0574,51.87458,-9.137409,-1.452591,-11.0005,-16.95785,0.801987,-13.23326,41.17362,-10.09878,19.57287,-8.667032,1607.73,5.066834,0.022139,-9.317637,-8.372403,-4.007251,5.336948,-3.035431,-29.64458,3.769646
m,101.4439,96.73154,101.1157,98.19315,83.0524,104.4222,101.3499,106.5037,63.04888,113.8701,0.739931,0.739931,116.211,85.02231,28.7015,-1.434661,4.397874,-0.28743,-7.131423,0.715043,-4.5983,27.60769,-4.670296,15.88265,0.525417,760.867,0.322779,0.032987,-1.085284,-0.496931,5.318743,-3.498165,-6.561007,-25.60019,1.469546
f,177.0245,172.4368,179.1918,176.2818,169.5711,186.7589,184.0926,187.3592,169.4483,203.1866,0.839785,0.839785,205.8538,176.1472,52.40741,-9.211617,-2.598528,-11.1778,-17.4223,0.803577,-19.27379,33.01141,-1.198322,33.74109,-8.416211,1075.218,0.232613,0.027618,-10.14706,-6.945168,1.342503,3.339588,-6.459802,-35.41019,1.227562
m,125.0108,113.3868,125.4371,111.7332,103.7865,135.4939,132.7507,138.4674,78.34102,155.558,0.767359,0.767359,158.0703,136.8036,32.67213,2.796157,10.18354,1.575053,-3.911531,0.725457,0.746247,36.67524,-1.621957,23.87267,4.984507,977.0386,-12.93564,0.014739,2.281244,4.726282,8.213384,-15.42258,-20.5932,-20.00184,-11.21102
f,204.5762,172.9755,198.3583,182.0158,173.1575,219.9897,213.9193,219.9715,138.1449,278.9691,0.82128,0.82128,288.0167,181.3178,59.96992,-8.769243,3.592521,-8.015724,-20.04764,0.767821,-12.0454,59.07612,-2.579511,18.43742,-6.192276,3467.538,1.946393,0.020967,-9.089296,-5.749157,0.621059,7.14122,-5.698716,-41.78926,3.060247
f,180.5703,163.4505,178.2465,171.3658,148.8513,187.6558,176.4409,196.5026,114.5851,210.0428,0.802262,0.802262,215.1807,132.2285,56.54473,-2.18987,7.149791,-1.774902,-11.19018,0.741748,-15.0911,53.11787,-2.804967,25.00723,-9.093664,2728.206,-0.958263,0.025756,-8.055895,-8.430054,-3.590579,2.268103,-7.297428,-32.18254,-1.480934
f,169.9788,158.4293,171.7735,165.3141,155.27,185.67,165.3076,186.2222,139.4336,218.4251,0.822375,0.822375,225.9533,152.337,55.07346,-19.15601,-10.06188,-18.92951,-29.15865,0.784744,-10.17151,46.32823,-16.60591,8.011488,-3.723656,2143.424,7.901963,0.01635,-3.579855,-4.609826,1.257226,10.54643,1.250546,-47.26741,8.448794
f,210.8809,187.3448,211.0061,185.6678,175.5152,218.9803,206.672,234.4304,127.8127,251.5559,0.839589,0.839589,258.3301,160.6228,62.84696,-8.859793,-0.958643,-8.295746,-16.67907,0.7698,-18.16809,58.92538,-7.224142,15.63169,-12.57015,3397.473,-2.854085,0.018476,-10.38952,-12.95368,-5.96447,-2.663611,-9.828561,-32.19498,-1.947766
f,215.9597,192.5217,213.3321,215.6062,197.1821,227.584,229.6549,227.2137,173.8396,284.2815,0.512706,0.869988,297.5107,224.1842,63.31772,-16.36362,-9.117841,-16.6378,-24.52874,0.824989,-16.75272,57.33104,-18.30658,9.110177,-11.13459,3041.949,2.392088,0.017122,-14.64395,-11.46177,-5.086102,4.371865,-5.918095,-40.72562,0.576161
f,204.0639,186.6566,220.2484,203.5804,183.9652,217.2881,288.7646,243.9354,136.1477,321.2153,0.78754,0.80849,306.3878,227.0212,68.80125,-14.32474,-4.236922,-14.92151,-23.47457,0.726443,-10.96947,63.3286,-22.23155,12.39872,-6.088269,3381.336,-0.666706,0.011621,-4.624248,-5.282927,-1.344875,-4.986791,-6.040819,-39.71542,0.684375
m,92.17796,88.48669,92.26672,91.08517,85.07878,99.05426,92.89562,98.42265,73.51431,121.1302,0.759356,0.759356,122.8637,94.30536,30.42451,-6.415202,3.247073,-6.977883,-15.63232,0.735547,0.538836,26.10019,-9.899621,18.87024,6.526423,652.5229,0.028067,0.043306,5.46965,6.555035,14.00784,-4.3433,-8.966222,-34.75446,0.199136
m,137.0892,132.4407,136.1637,135.5365,123.3749,142.3545,138.963,142.3082,117.4797,155.8823,0.801151,0.801151,157.7304,122.7514,37.01958,7.740962,14.16651,7.828146,2.870688,0.767163,0.086553,31.46794,8.906896,25.00882,6.498071,990.1003,-8.979856,0.019611,4.995357,6.211641,11.98251,-8.970931,-16.16279,-16.82724,-8.709009
f,144.2585,137.7478,153.3033,144.1918,141.8684,163.446,158.6911,167.2593,135.7003,216.0445,0.819396,0.819396,219.2082,145.8917,43.48779,-11.61308,-1.19829,-11.6475,-21.73867,0.764283,-8.996893,40.36093,-10.60021,13.72616,-3.754509,1623.553,3.818994,0.020426,-7.127526,-3.769823,2.396966,3.053968,-1.309349,-38.19748,3.996303
f,180.7623,160.5698,175.0265,178.1443,158.5223,191.3167,177.4414,191.6977,123.9811,232.5147,0.853703,0.853703,236.5482,172.4662,58.23114,-12.31622,-4.395248,-12.01026,-20.35443,0.759075,-16.46647,52.09264,-17.63285,11.6671,-10.94006,2648.078,-4.929947,0.020603,-14.94163,-10.75343,-5.772337,-4.067154,-10.76626,-44.92184,-4.148272
f,210.2317,188.5163,202.5178,210.0268,194.0521,243.9288,167.0542,239.307,150.5065,269.7263,0.861229,0.861229,274.6625,206.2726,60.33043,-6.86924,3.245375,-4.865063,-17.01728,0.804872,-15.46618,63.16897,-7.679703,18.05727,-8.677048,3939.95,-5.300008,0.018106,-8.753448,-8.496958,-1.136141,-8.94683,-11.53999,-36.76176,-2.991464
m,114.8183,102.228,116.3763,110.2088,106.475,123.9172,128.778,123.8917,95.27869,153.8129,0.78689,0.78689,157.7263,121.3723,38.80042,3.685653,11.98204,3.761688,-4.630257,0.758402,-26.30796,30.80696,0.184439,32.8643,-16.46293,874.426,-15.33742,0.037715,-17.78765,-15.89146,-7.044462,-15.705,-24.13541,-25.30068,-15.04059
f,148.6882,142.3764,160.7788,145.1082,138.7445,157.3064,158.7191,171.5063,107.8199,223.5721,0.823931,0.823931,228.2392,133.9307,44.78101,-8.243788,1.494562,-6.240737,-16.82567,0.77914,-17.36887,44.05637,-14.9849,14.57385,-13.15455,1933.157,-1.464687,0.023927,-10.86137,-13.63854,-8.736699,-1.765144,-5.933212,-39.12375,-1.266675
m,130.4777,116.2368,133.2751,122.7236,120.2201,151.6909,135.6104,155.2946,96.91592,173.6472,0.805279,0.805279,174.9811,129.0901,43.32803,3.803441,11.57754,3.623354,-2.80663,0.753785,-0.616837,39.30082,10.11623,30.35079,4.170688,1518.088,-3.202906,0.019079,6.886804,4.206252,10.56524,-4.708869,-7.597339,-32.40368,-1.725317
f,216.2625,186.2502,209.3276,192.103,194.664,227.2595,181.8377,226.3854,182.5777,251.5916,0.840068,0.840068,256.3568,150.8419,61.92822,-12.36113,-4.000044,-12.92986,-19.50043,0.810409,-17.59885,46.30715,-5.453894,12.04402,-9.840055,1496.42,-1.712999,0.018684,-4.276048,-10.12436,-3.668043,8.667754,-8.890836,-35.93146,-3.666783
m,151.1319,137.5177,157.1125,138.641,142.1354,169.0943,151.5645,171.0938,115.1257,319.8571,0.797512,0.797512,429.7727,133.9156,86.38023,0.517063,7.934784,1.450379,-8.642263,0.752149,-10.23876,68.12962,6.19552,31.68149,-4.584812,4618.923,-18.86877,0.018828,-4.160975,-5.026733,0.827229,-18.20006,-24.22197,-22.01577,-18.59068
m,108.7545,104.3678,110.3073,107.2898,97.19999,116.8239,105.7725,122.3182,77.65244,145.9042,0.775145,0.775145,166.1348,97.26286,33.38147,-7.987413,-1.840008,-8.070761,-14.7879,0.733013,-10.32214,31.32697,-6.254704,30.63411,-4.254757,981.3777,-10.18293,0.02767,-3.628109,-5.310444,1.547605,-7.421069,-16.61177,-30.49225,-9.961342
m,147.9875,136.7226,158.9566,131.8284,141.9658,169.578,174.6882,162.4184,103.6739,254.2175,0.787088,0.787088,266.343,169.8524,44.84504,3.860674,12.89917,1.778424,-7.959877,0.748554,-15.85337,60.77316,7.695853,57.05055,-10.19979,3431.354,-8.919172,0.018419,-12.7425,-9.754307,-4.276558,-24.58374,-17.99157,-23.06758,-7.276974
f,140.8713,127.6774,144.0429,131.2009,126.9158,150.0499,162.1539,159.9246,115.1926,197.1862,0.788854,0.788854,200.3438,143.3281,45.14079,-5.889762,1.937533,-5.47224,-13.50667,0.7497,-6.941212,36.24277,-3.770878,14.64364,-1.696445,1222.934,7.185845,0.019013,-3.351311,-2.146244,3.886189,12.48593,-0.308838,-29.69832,6.908516
m,112.0855,104.1648,110.2347,107.9507,103.5732,126.1596,92.81027,127.2738,85.977,159.5539,0.794822,0.794822,188.6169,99.11443,33.46558,-6.38898,0.259003,-6.501154,-13.98882,0.74793,-9.708444,32.76406,-10.07291,31.15919,-4.822828,1066.791,-8.629932,0.028902,-0.922394,-5.274802,0.506454,-10.27042,-13.80013,-31.28555,-7.954628
f,208.7563,187.6402,210.0633,225.5062,215.0482,258.2945,172.899,253.5986,190.1183,275.3859,0.869218,0.869218,277.7496,209.6086,73.13722,-7.543776,2.373032,-4.41514,-16.33706,0.805683,-15.04204,57.12603,-3.593203,15.84914,-8.665335,3253.422,-5.181823,0.020088,-5.799587,-8.069898,-2.058798,-4.435513,-12.21763,-34.8737,-4.45092
