@relation SMILEfeatures

@attribute sexo {m,f}
@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute F0final_sma_linregc2 numeric
@attribute F0final_sma_de_percentile99.0 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_quartile3 numeric
@attribute mfcc_sma[11]_quartile2 numeric
@attribute mfcc_sma[11]_quartile1 numeric
@attribute voicingFinalUnclipped_sma_quartile3 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute F0final_sma_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_amean numeric
@attribute F0final_sma_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[14]_linregc2 numeric
@attribute mfcc_sma[14]_quartile2 numeric
@attribute mfcc_sma[14]_quartile3 numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute mfcc_sma[12]_quartile2 numeric

@data
m,107.041,96.51923,147.1744,100.858,114.2347,132.0993,163.0543,156.8774,66.29755,422.3434,0.595067,0.804859,553.0541,135.2006,110.81,-6.002517,-0.303163,-5.961534,-11.84381,0.732935,-15.11251,89.82279,-6.019209,20.50418,-8.46598,7919.548,-15.42585,0.032546,-9.665722,-6.801787,-1.443625,-17.83182,-21.6095,-30.15174,-13.51398
m,168.4821,168.4821,170.0838,128.9723,128.7377,169.5628,167.7911,190.7097,91.32835,199.5465,0.737712,0.737712,200.5995,150.2063,54.03693,-0.029857,9.692027,1.514723,-7.861471,0.647608,-13.00392,51.85955,-8.897947,18.44788,-6.263603,2519.608,-7.642686,0.023233,-11.38535,-5.301116,0.519974,-12.0119,-12.93993,-29.0281,-6.427423
m,109.0911,99.24927,110.8227,102.777,100.6864,119.3831,124.2278,120.2493,91.7169,148.116,0.423062,0.788804,149.7389,118.2428,26.68425,-2.75346,4.257285,-2.946474,-10.40763,0.756318,-14.18294,29.69601,-10.29374,28.43686,-8.669002,778.0891,-12.49971,0.025027,-14.47825,-8.37757,-2.397652,-7.801352,-19.50434,-26.95266,-11.94042
m,101.7615,101.4112,96.80682,68.71939,74.15676,101.0851,79.37591,103.6508,61.85543,106.2249,0.73975,0.73975,110.296,67.27259,29.29431,11.09145,20.30281,10.67695,1.722959,0.67618,-5.668584,26.93666,8.003144,42.53271,-1.79744,709.3348,-11.4376,0.033618,-5.710716,-1.191073,2.528192,-14.34409,-18.62827,-22.99404,-10.72899
m,117.5507,112.1443,118.2399,115.3373,108.0308,121.7556,123.0879,123.0445,107.7679,139.8366,0.770996,0.770996,141.8466,114.4595,33.01583,3.392991,10.78292,3.222021,-5.234599,0.749211,1.944817,27.14403,6.73086,31.77652,7.50652,722.8899,-1.102078,0.029695,6.078874,7.426878,12.46293,-6.787732,-8.4984,-21.76909,-1.784364
m,102.1313,96.019,104.8765,98.05997,87.54905,107.5812,98.85374,108.3146,67.83106,150.826,0.759335,0.759335,138.934,81.4956,30.23898,1.00233,6.724056,2.000847,-4.538196,0.721569,-6.535782,28.04363,2.899404,16.82054,-2.338017,774.072,-4.004387,0.027812,-1.208667,-2.080439,2.106428,-6.448383,-9.087784,-18.16902,-3.298366
f,0,0,0,0,0,0,0,0,0,0,0.558372,0.558372,0,0,0,0.173548,8.789064,0.972225,-6.930647,0.166757,-8.091886,0,0.083602,20.6493,-2.239301,0,3.445863,0.015164,-2.25809,-2.885455,3.840755,4.64821,-1.036166,-33.60102,3.810925
f,227.7389,208.0446,229.4613,222.9779,202.2025,258.602,250.3817,242.1313,160.551,270.8909,0.824947,0.824947,271.6213,239.4757,67.13438,-7.48291,0.05481,-6.180538,-14.3861,0.743987,-15.62696,65.44964,-17.24744,20.83343,-9.59482,3814.126,-6.669789,0.015461,-14.34408,-10.32114,-3.956221,-12.73672,-12.75763,-35.09023,-7.083801
f,196.72,171.1028,195.5476,204.1304,196.1921,221.645,156.5727,223.4609,181.8656,248.1375,0.850051,0.850051,251.0322,175.6023,52.07643,-13.35507,-4.819188,-11.18962,-23.02922,0.82277,-18.93711,40.77606,-11.47767,17.39758,-11.71004,1519.682,-6.124228,0.025537,-5.459376,-9.395179,-4.318028,-0.180869,-12.42768,-45.97005,-5.129241
f,0,0,0,0,0,0,0,0,0,0,0.569667,0.569667,0,0,0,-2.562328,8.318228,-2.926832,-12.09681,0.434986,-7.136211,0,-7.412668,22.07679,-0.428499,0,8.628388,0.016626,-6.121466,-0.165199,6.782136,9.370576,2.564553,-30.1702,7.45886
